date,temp_avg
1/1/2012,8.9
1/2/2012,6.7
1/3/2012,9.45
1/4/2012,8.9
1/5/2012,5.85
1/6/2012,3.3
1/7/2012,5
1/8/2012,6.4
1/9/2012,7.2
1/10/2012,3.35
1/11/2012,2.5
1/12/2012,2.2
1/13/2012,1.1
1/14/2012,2.5
1/15/2012,-1.1
1/16/2012,
1/17/2012,
1/18/2012,-1.4
1/19/2012,
1/20/2012,
1/21/2012,5.8
1/22/2012,4.45
1/23/2012,4.7
1/24/2012,6.1
1/25/2012,6.65
1/26/2012,5
1/27/2012,2.25
1/28/2012,3.65
1/29/2012,6.65
1/30/2012,7.2
1/31/2012,7.75
2/1/2012,6.1
2/2/2012,5
2/3/2012,8.3
2/4/2012,10.3
2/5/2012,7.8
2/6/2012,8.9
2/7/2012,11.7
2/8/2012,7.5
2/9/2012,9.45
2/10/2012,9.75
2/11/2012,7.25
2/12/2012,6.65
2/13/2012,5.8
2/14/2012,3.9
2/15/2012,3.9
2/16/2012,5.25
2/17/2012,
2/18/2012,5.3
2/19/2012,4.45
2/20/2012,
2/21/2012,8.9
2/22/2012,6.4
2/23/2012,5.55
2/24/2012,5.55
2/25/2012,
2/26/2012,1.95
2/27/2012,2.25
2/28/2012,3.05
2/29/2012,3.05
3/1/2012,
3/2/2012,5.3
3/3/2012,9.45
3/4/2012,8.65
3/5/2012,4.45
3/6/2012,3.35
3/7/2012,3.6
3/8/2012,8.1
3/9/2012,7.2
3/10/2012,6.65
3/11/2012,4.75
3/12/2012,4.45
3/13/2012,3.1
3/14/2012,4.45
3/15/2012,
3/16/2012,6.4
3/17/2012,5.3
3/18/2012,2.2
3/19/2012,3.05
3/20/2012,5
3/21/2012,5
3/22/2012,5.85
3/23/2012,6.4
3/24/2012,9.15
3/25/2012,7.75
3/26/2012,9.45
3/27/2012,10.55
3/28/2012,8.9
3/29/2012,8.05
3/30/2012,7.2
3/31/2012,6.4
4/1/2012,6.65
4/2/2012,10.55
4/3/2012,7.5
4/4/2012,6.7
4/5/2012,6.1
4/6/2012,7.2
4/7/2012,8.9
4/8/2012,14.15
4/9/2012,13.05
4/10/2012,13.35
4/11/2012,9.15
4/12/2012,9.75
4/13/2012,9.45
4/14/2012,
4/15/2012,11.65
4/16/2012,10
4/17/2012,7.2
4/18/2012,10.25
4/19/2012,9.45
4/20/2012,10
4/21/2012,12.2
4/22/2012,15.8
4/23/2012,15.3
4/24/2012,
4/25/2012,
4/26/2012,10.3
4/27/2012,
4/28/2012,12.2
4/29/2012,12.25
4/30/2012,10
5/1/2012,8.9
5/2/2012,
5/3/2012,9.15
5/4/2012,9.15
5/5/2012,9.15
5/6/2012,11.4
5/7/2012,15
5/8/2012,
5/9/2012,10
5/10/2012,9.15
5/11/2012,11.35
5/12/2012,15.55
5/13/2012,17.5
5/14/2012,19.75
5/15/2012,16.9
5/16/2012,14.4
5/17/2012,12.25
5/18/2012,11.7
5/19/2012,13.3
5/20/2012,13.05
5/21/2012,13.35
5/22/2012,10.85
5/23/2012,
5/24/2012,13.05
5/25/2012,
5/26/2012,15.55
5/27/2012,14.45
5/28/2012,13.35
5/29/2012,11.95
5/30/2012,15
5/31/2012,15
6/1/2012,16.4
6/2/2012,14.75
6/3/2012,13.3
6/4/2012,10.85
6/5/2012,10.8
6/6/2012,11.1
6/7/2012,12.5
6/8/2012,11.65
6/9/2012,12.75
6/10/2012,14.45
6/11/2012,16.65
6/12/2012,15.55
6/13/2012,13.6
6/14/2012,13.6
6/15/2012,15.8
6/16/2012,18.05
6/17/2012,15.3
6/18/2012,13.6
6/19/2012,14.7
6/20/2012,17.2
6/21/2012,17.8
6/22/2012,12.8
6/23/2012,12.5
6/24/2012,14.4
6/25/2012,15.25
6/26/2012,14.45
6/27/2012,15.85
6/28/2012,16.95
6/29/2012,18.35
6/30/2012,16.65
7/1/2012,16.1
7/2/2012,15.3
7/3/2012,14.45
7/4/2012,15
7/5/2012,17.5
7/6/2012,18.05
7/7/2012,19.75
7/8/2012,21.35
7/9/2012,18.9
7/10/2012,17.5
7/11/2012,20.55
7/12/2012,19.45
7/13/2012,18.6
7/14/2012,20
7/15/2012,16.1
7/16/2012,19.7
7/17/2012,18.35
7/18/2012,17.75
7/19/2012,19.7
7/20/2012,16.65
7/21/2012,18.9
7/22/2012,16.4
7/23/2012,15
7/24/2012,17.75
7/25/2012,19.75
7/26/2012,19.2
7/27/2012,16.4
7/28/2012,17.75
7/29/2012,18.9
7/30/2012,16.35
7/31/2012,18.35
8/1/2012,18.6
8/2/2012,17.75
8/3/2012,20
8/4/2012,25.3
8/5/2012,
8/6/2012,21.95
8/7/2012,
8/8/2012,18.6
8/9/2012,19.4
8/10/2012,18.9
8/11/2012,20.8
8/12/2012,22.8
8/13/2012,22.8
8/14/2012,21.4
8/15/2012,23.9
8/16/2012,26.35
8/17/2012,24.45
8/18/2012,18.05
8/19/2012,19.15
8/20/2012,
8/21/2012,18.3
8/22/2012,17.75
8/23/2012,17.5
8/24/2012,16.1
8/25/2012,18.9
8/26/2012,16.65
8/27/2012,18.6
8/28/2012,17.5
8/29/2012,18.05
8/30/2012,17.8
8/31/2012,16.4
9/1/2012,16.15
9/2/2012,15.55
9/3/2012,17.8
9/4/2012,17.75
9/5/2012,18.9
9/6/2012,21.35
9/7/2012,22.75
9/8/2012,19.15
9/9/2012,16.4
9/10/2012,15.85
9/11/2012,14.45
9/12/2012,16.1
9/13/2012,19.75
9/14/2012,18.6
9/15/2012,16.65
9/16/2012,16.9
9/17/2012,19.75
9/18/2012,
9/19/2012,17.8
9/20/2012,14.7
9/21/2012,14.45
9/22/2012,15.55
9/23/2012,14.7
9/24/2012,15.55
9/25/2012,15.25
9/26/2012,14.4
9/27/2012,16.4
9/28/2012,18.6
9/29/2012,16.4
9/30/2012,14.45
10/1/2012,16.1
10/2/2012,13.9
10/3/2012,13.35
10/4/2012,13.6
10/5/2012,15.3
10/6/2012,15.85
10/7/2012,15.85
10/8/2012,14.45
10/9/2012,
10/10/2012,10.25
10/11/2012,10.55
10/12/2012,11.4
10/13/2012,13.9
10/14/2012,15.55
10/15/2012,14.15
10/16/2012,12.2
10/17/2012,
10/18/2012,12.25
10/19/2012,12.2
10/20/2012,8.6
10/21/2012,8.05
10/22/2012,5.55
10/23/2012,8.35
10/24/2012,8.9
10/25/2012,9.2
10/26/2012,9.15
10/27/2012,11.9
10/28/2012,12.2
10/29/2012,12.8
